Alpha_Fp2,Alpha_Fz,Alpha_Fp1,Alpha_F3,Alpha_F7,Alpha_C3,Alpha_T7,Alpha_P3,Alpha_Pz,Alpha_O1,Alpha_Oz,Alpha_O2,Alpha_P4,Alpha_C4,Alpha_T8,Alpha_F8,Alpha_F4,Alpha_Cz,Beta_Fp2,Beta_Fz,Beta_Fp1,Beta_F3,Beta_F7,Beta_C3,Beta_T7,Beta_P3,Beta_Pz,Beta_O1,Beta_Oz,Beta_O2,Beta_P4,Beta_C4,Beta_T8,Beta_F8,Beta_F4,Beta_Cz,Theta_Fp2,Theta_Fz,Theta_Fp1,Theta_F3,Theta_F7,Theta_C3,Theta_T7,Theta_P3,Theta_Pz,Theta_O1,Theta_Oz,Theta_O2,Theta_P4,Theta_C4,Theta_T8,Theta_F8,Theta_F4,Theta_Cz
0.015183,0.014326,0.020898,0.035064,0.021331,0.066232,0.031139,0.046818,0.048212,0.061973,0.056207,0.043323,0.032529,0.047507,0.022664,0.023247,0.026262,0.039268,0.0075653,0.0065385,0.025361,0.027565,0.010876,0.006326,0.032639,0.0066182,0.0067077,0.0089108,0.0082397,0.0068042,0.0062268,0.005132,0.020749,0.0079706,0.014829,0.0036356,0.042067,0.034421,0.051508,0.076143,0.082067,0.08984,0.072692,0.087606,0.093221,0.13539,0.13792,0.10468,0.061146,0.063086,0.059836,0.074865,0.062496,0.079464
0.012462,0.014558,0.023165,0.022278,0.018587,0.027686,0.024525,0.024532,0.02706,0.03358,0.036033,0.045128,0.035456,0.024996,0.021081,0.020857,0.023898,0.021666,0.012954,0.0067263,0.02639,0.016208,0.020542,0.0036134,0.017416,0.0042755,0.0028091,0.0075853,0.0062881,0.0087741,0.004155,0.004365,0.020753,0.0071133,0.022058,0.0031602,0.040039,0.048984,0.073406,0.048088,0.052341,0.053626,0.049892,0.096617,0.10743,0.10875,0.12743,0.1259,0.05919,0.042972,0.041449,0.069848,0.047895,0.049587
0.11523,0.012097,0.062,0.047941,0.041263,0.030311,0.017957,0.021457,0.026616,0.042371,0.058954,0.054438,0.035451,0.021529,0.02615,0.037639,0.022444,0.017007,0.20545,0.0099579,0.069645,0.10119,0.028205,0.021296,0.011938,0.010233,0.0043112,0.011202,0.01379,0.012415,0.016897,0.01144,0.041026,0.016006,0.02519,0.0064569,0.37166,0.043679,0.24841,0.11846,0.14661,0.039037,0.04743,0.037942,0.042258,0.14683,0.21803,0.19356,0.060389,0.044223,0.068858,0.14632,0.089159,0.053208
0.017156,0.0074233,0.016602,0.013708,0.01311,0.022157,0.019758,0.021011,0.052649,0.048943,0.054098,0.057856,0.018637,0.018083,0.013522,0.01273,0.0094038,0.019448,0.048176,0.0043137,0.023055,0.0067119,0.0043153,0.0031914,0.0072266,0.0037094,0.004477,0.007861,0.0089922,0.0089884,0.0038781,0.0039718,0.01583,0.009524,0.0071725,0.0027294,0.028844,0.016631,0.036189,0.027785,0.034287,0.024953,0.030507,0.033684,0.079442,0.072433,0.082259,0.08175,0.029164,0.022794,0.026142,0.031441,0.018403,0.050646
0.017092,0.015723,0.015685,0.027767,0.017364,0.053641,0.034227,0.035966,0.02806,0.044774,0.037303,0.03741,0.034659,0.04145,0.028015,0.01647,0.023159,0.029944,0.010537,0.0032256,0.0085579,0.0072125,0.0078048,0.0032399,0.035229,0.00363,0.0025334,0.0068087,0.0059136,0.0063398,0.0033968,0.0042344,0.019361,0.0065754,0.0083353,0.0019095,0.034977,0.020938,0.030935,0.037591,0.041528,0.035572,0.045867,0.036451,0.045885,0.087345,0.083409,0.09096,0.032977,0.030764,0.049828,0.043173,0.037754,0.033417
0.016299,0.01995,0.019085,0.026277,0.014367,0.036131,0.01916,0.032053,0.033585,0.037921,0.040822,0.042378,0.039805,0.033137,0.018719,0.014721,0.021351,0.026212,0.0030306,0.0026959,0.0045471,0.0031079,0.0026008,0.0025269,0.004499,0.0035482,0.0027889,0.00549,0.005048,0.0060004,0.0035942,0.0021143,0.0032051,0.0026376,0.0031944,0.0019644,0.043008,0.049584,0.041596,0.041631,0.039032,0.057291,0.047952,0.06181,0.061018,0.1026,0.10946,0.10033,0.058673,0.042645,0.036818,0.041357,0.056173,0.07377
0.01849,0.0095944,0.023471,0.012951,0.011777,0.023808,0.016458,0.019988,0.013982,0.021524,0.023369,0.025093,0.029319,0.019907,0.013381,0.013831,0.0099329,0.016305,0.036597,0.0079416,0.043992,0.0080424,0.0049375,0.0020547,0.0046374,0.003409,0.0025941,0.0042321,0.0046868,0.0052505,0.0032974,0.0023737,0.0036645,0.0069118,0.0084731,0.0018197,0.027285,0.018814,0.037855,0.024633,0.029531,0.025294,0.036447,0.033384,0.033193,0.076708,0.08138,0.064549,0.03352,0.024051,0.026116,0.032887,0.016799,0.030641
0.049452,0.02568,0.01945,0.026042,0.029314,0.026357,0.025477,0.031991,0.028002,0.030725,0.034523,0.027698,0.024339,0.031878,0.02644,0.025646,0.034489,0.025237,0.10465,0.0079844,0.026316,0.020005,0.019152,0.0032348,0.029827,0.0037216,0.0040373,0.0066198,0.0059874,0.0046181,0.0037959,0.0032227,0.019963,0.018104,0.031051,0.0023847,0.079253,0.077408,0.035219,0.057235,0.073083,0.039573,0.046714,0.038724,0.086239,0.069617,0.095301,0.085977,0.044745,0.037804,0.054624,0.070096,0.062799,0.056289
0.013684,0.01016,0.020617,0.01407,0.013895,0.019004,0.019612,0.029381,0.030286,0.055213,0.062947,0.061821,0.026992,0.012224,0.021003,0.015756,0.013602,0.021207,0.0055491,0.0060945,0.015573,0.0045666,0.004536,0.0035521,0.019437,0.007377,0.0044147,0.0084715,0.0097807,0.010894,0.0058546,0.0035497,0.017613,0.0050135,0.0052023,0.0029943,0.054105,0.037752,0.07488,0.047623,0.059618,0.054899,0.060392,0.10845,0.11502,0.17932,0.23065,0.2186,0.077372,0.038211,0.05512,0.073419,0.050207,0.066689
0.048547,0.0099692,0.02517,0.016173,0.016379,0.029001,0.017224,0.026379,0.022473,0.042548,0.033155,0.032563,0.02251,0.022168,0.015185,0.014544,0.015823,0.017219,0.044894,0.0056783,0.033265,0.017554,0.0053988,0.0039899,0.009749,0.004304,0.0030583,0.013258,0.0059724,0.0082476,0.0039578,0.0038813,0.011144,0.0051333,0.012021,0.0025475,0.18447,0.024967,0.057762,0.033912,0.053902,0.044146,0.050722,0.055589,0.05958,0.11947,0.10524,0.08666,0.045286,0.039156,0.046328,0.051401,0.034565,0.057887
